Prov;Cant;Parro;Parroquia;Zona;Zona_Nombre;Urbano_Rural;Clave_Parcial;Etiqueta_Parroquia;Etiqueta_Zona;Activo
06;01;01;LIZARZABURU;000;Zona 000;URBANO;060101000;01-LIZARZABURU;000-Zona 000;Sí
06;01;01;LIZARZABURU;001;Zona 001;URBANO;060101001;01-LIZARZABURU;001-Zona 001;Sí
06;01;01;LIZARZABURU;002;Zona 002;URBANO;060101002;01-LIZARZABURU;002-Zona 002;Sí
06;01;01;LIZARZABURU;003;Zona 003;URBANO;060101003;01-LIZARZABURU;003-Zona 003;Sí
06;01;01;LIZARZABURU;004;Zona 004;URBANO;060101004;01-LIZARZABURU;004-Zona 004;Sí
06;01;01;LIZARZABURU;005;Zona 005;URBANO;060101005;01-LIZARZABURU;005-Zona 005;Sí
06;01;01;LIZARZABURU;006;Zona 006;URBANO;060101006;01-LIZARZABURU;006-Zona 006;Sí
06;01;01;LIZARZABURU;007;Zona 007;URBANO;060101007;01-LIZARZABURU;007-Zona 007;Sí
06;01;01;LIZARZABURU;008;Zona 008;URBANO;060101008;01-LIZARZABURU;008-Zona 008;Sí
06;01;01;LIZARZABURU;009;Zona 009;URBANO;060101009;01-LIZARZABURU;009-Zona 009;Sí
06;01;01;LIZARZABURU;040;Zona 040;URBANO;060101040;01-LIZARZABURU;040-Zona 040;Sí
06;01;02;MALDONADO;001;Zona 001;URBANO;060102001;02-MALDONADO;001-Zona 001;Sí
06;01;02;MALDONADO;002;Zona 002;URBANO;060102002;02-MALDONADO;002-Zona 002;Sí
06;01;02;MALDONADO;003;Zona 003;URBANO;060102003;02-MALDONADO;003-Zona 003;Sí
06;01;02;MALDONADO;004;Zona 004;URBANO;060102004;02-MALDONADO;004-Zona 004;Sí
06;01;02;MALDONADO;006;Zona 006;URBANO;060102006;02-MALDONADO;006-Zona 006;Sí
06;01;02;MALDONADO;007;Zona 007;URBANO;060102007;02-MALDONADO;007-Zona 007;Sí
06;01;02;MALDONADO;008;Zona 008;URBANO;060102008;02-MALDONADO;008-Zona 008;Sí
06;01;03;VELASCO;001;Zona 001;URBANO;060103001;03-VELASCO;001-Zona 001;Sí
06;01;03;VELASCO;002;Zona 002;URBANO;060103002;03-VELASCO;002-Zona 002;Sí
06;01;03;VELASCO;003;Zona 003;URBANO;060103003;03-VELASCO;003-Zona 003;Sí
06;01;03;VELASCO;004;Zona 004;URBANO;060103004;03-VELASCO;004-Zona 004;Sí
06;01;03;VELASCO;005;Zona 005;URBANO;060103005;03-VELASCO;005-Zona 005;Sí
