clas_suelo;codigo_pit;lote_min;edif_bas;edif_max;altura_min;altura_max;implantac;f_min;r_frontal;r_lateral;r_posterio;cos_pb;cos_total;cos_total_c;u_principa
URBANO;Z8;230;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;340;425;Residencial de mediana densidad
URBANO;Z22;200;4;NO APLICA;12;;PAREADA CON RETIROS;10;3;3;3;65;260;NO APLICA;Residencial de baja densidad
URBANO;Z35_Z35;180;5;5;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;400;480;Residencial de mediana densidad
URBANO;PIP_ESPOCH;0;8;10;24;;AISLADA;0;10;10;20;60;480;600;Equipamiento de Educación
URBANO;Z1B_EJZ1;250;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;80;320;360;Residencial de mediana densidad
URBANO;Z36-B;200;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;255;340;Residencial de baja densidad
URBANO;Z19;180;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;75;300;375;Residencial de baja densidad
URBANO;Z5;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;400;500;Residencial de mediana densidad
URBANO;Z3;160;3;NO APLICA;9;;CONTINUA CON RETIROS;8;3;0;3;70;210;NO APLICA;Residencial de mediana densidad
URBANO;Z24;200;4;NO APLICA;12;;PAREADA CON RETIROS;9;3;3;3;70;280;NO APLICA;Residencial de mediana densidad
URBANO;Z13;150;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;75;300;375;Residencial de baja densidad
URBANO;Z15;200;2;NO APLICA;6;;PAREADA CON RETIROS;10;3;3;3;55;110;NO APLICA;Residencial de mediana densidad
URBANO;Z17;200;4;NO APLICA;12;;PAREADA CON RETIROS;10;3;3;3;60;240;NO APLICA;Residencial de mediana densidad
URBANO;Z27;200;3;NO APLICA;9;;CONTINUA CON RETIROS;9;3;0;3;70;210;NO APLICA;Residencial de baja densidad
URBANO;Z21-A;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;425;510;Residencial de baja densidad
URBANO;Z23-A;200;4;NO APLICA;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;340;NO APLICA;Residencial de mediana densidad
URBANO;Z31-A;150;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;320;400;Residencial de mediana densidad
URBANO;Z33;120;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;240;320;Residencial de mediana densidad
URBANO;Z39;200;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;80;320;400;Residencial de mediana densidad
URBANO;Z26;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;85;255;340;Residencial de baja densidad
URBANO;Z4;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;400;500;Residencial de mediana densidad
URBANO;Z29-B;400;2;3;6;;PAREADA CON RETIROS;15;5;5;5;50;100;150;Residencial de baja densidad
URBANO;Z2TIII;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;255;340;Residencial de mediana densidad
URBANO;ZLSA;0;-;---;-;;NO APLICA;0;10;10;20;0;---;---;Protección ecológica integral
URBANO;PIP_Aeropuerto;0;-;---;-;;NO APLICA;0;0;0;0;0;---;---;Equipamiento de Transporte
URBANO;Z11;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;425;510;Residencial de mediana densidad
URBANO;Z32;200;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;85;340;425;Residencial de mediana densidad
URBANO;Z10;135;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;85;340;425;Residencial de mediana densidad
URBANO;Z20-A;150;3;4;9;;CONTINUA CON RETIROS;8;3;0;3;75;225;300;Residencial de baja densidad
URBANO;Z28-B;600;2;3;6;;PAREADA CON RETIROS;14;3;3;3;60;120;180;Residencial de baja densidad
URBANO;Z37-C;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;85;255;340;Residencial de baja densidad
URBANO;Z20-B;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;425;510;Residencial de mediana densidad
URBANO;Z21-B;180;3;4;9;;CONTINUA CON RETIROS;8;3;0;3;75;225;300;Residencial de mediana densidad
URBANO;Z38TII-A;150;3;4;9;12;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;240;320;Residencial de baja densidad
URBANO;Z9;180;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;340;425;Residencial de baja densidad
URBANO;Z37-B;200;6;7;18;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;510;595;Residencial de baja densidad
URBANO;Z18-C;200;4;0;12;;CONTINUA CON RETIROS;10;3;0;3;60;240;0;Residencial de mediana densidad
URBANO;Z18-D;200;4;0;12;;PAREADA CON RETIROS;10;3;3;3;70;280;0;Residencial de mediana densidad
URBANO;Z29-A;500;2;3;6;;AISLADA;15;5;3;5;50;100;150;Residencial de baja densidad
URBANO;Z28-A;400;3;NO APLICA;9;;PAREADA CON RETIROS;12;3;3;3;60;180;NO APLICA;Residencial de baja densidad
URBANO;Z14T0;400;1;NO APLICA;3;;AISLADA;14;5;5;5;25;25;NO APLICA;Protección de Riesgos
URBANO;Z14TIV-A;170;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;75;300;375;Residencial de baja densidad
URBANO;Z14TIV-D;180;5;6;15;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;85;425;510;Residencial de mediana densidad
URBANO;Z38TII-C;150;2;3;6;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;160;240;Residencial de baja densidad
URBANO;Z38TI-B;180;1;NO APLICA;3;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;80;80;NO APLICA;Residencial de baja densidad
URBANO;Z38T0;0;-;---;-;;NO APLICA;0;0;0;0;0;---;---;Protección de Riesgos
URBANO;Z38TI-A;180;1;NO APLICA;3;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;80;80;NO APLICA;Residencial de baja densidad
URBANO;Z38TIII-A;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;240;320;Residencial de mediana densidad
URBANO;Z14-A;120;2;3;6;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;80;160-320;240;Residencial de baja densidad
URBANO;Z34_Z34-B;250;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;85;255;340;Residencial de baja densidad
URBANO;Z31-B;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;80;240;320;Residencial de mediana densidad
URBANO;Z31-C;150;3;4;9;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;80;240;320;Residencial de baja densidad
URBANO;Z30-B;120;2;3;6;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;80;160;240;Residencial de baja densidad
URBANO;ZL-A;170;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;7;0;0;3;85;340;425;Residencial de mediana densidad
URBANO;Z30-A;150;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;340;425;Residencial de mediana densidad
URBANO;PIP_Recreación y Deporte;0;-;---;-;;NO APLICA;0;0;0;0;0;---;---;Equipamiento de Recreación y Deporte
URBANO;ZL2-A;200;4;5;12;;CONTINUA SOBRE LINEA DE FABRICA;8;0;0;3;85;340;425;Residencial de baja densidad
URBANO;PIP_PARQUE URBANO;0;3;---;12 - 18;;AISLADA;0;20;20;20;50;150;---;Equipamiento de Recreación y Deporte
URBANO;PIP_TERMINAL INTERMODAL INTERPROVINCIAL;0;3;---;12 - 18;;AISLADA;0;20;20;20;50;150;---;Equipamiento de Transporte
URBANO;PIP_CEMENTERIO;0;3;---;12 - 18;;AISLADA;0;20;20;20;50;150;---;Equipamiento de Servicios Funerarios
URBANO;PIP_Brigada Galápagos;0;3;NO APLICA;9 - 24;;AISLADA;12;3;3;3;50;150;NO APLICA;Equipamiento de Seguridad
URBANO;PIP_Tanques La Saboya;0;-;---;-;;NO APLICA;0;0;0;0;0;---;---;Equipamiento de Infraestructura
URBANO;ZL-B;170;2;3;6;;CONTINUA SOBRE LINEA DE FABRICA;10;0;0;3;80;160;240;Residencial de baja densidad
