Código,Componente,Tema,Observación corta,Texto técnico para informe,Norma / criterio
CPTOM 1,ARQUITECTÓNICOS,PLANOS ARQUITECTÓNICOS,PLANIMETRÍA,"Levantamiento planimétrico y/o topográfico georeferenciado del terreno en el sistema de coordenadas oficial UTM, WGS 84, zona 17, latitud Sur, en el que se indiquen de ser el caso las construcciones existentes, líneas de alta tensión, acequias, canales de riego y quebradas, con sus respectivos márgenes de protección, en el que se hará constar las dimensiones de los linderos. En el caso de construcciones adosadas se deberá identificar el nivel de los terrenos colindantes","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 2,ARQUITECTÓNICOS,PLANOS ARQUITECTÓNICOS,PLANO DE UBICACIÓN,"Plano de ubicación que debe abarcar una zona de 300 m. de radio, con su correcta orientación y nombres de calles, en áreas rurales georeferenciadas.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 3,ARQUITECTÓNICOS,PLANOS ARQUITECTÓNICOS,IMPLANTACIÓN,"Plano de Implantación en el que anotará claramente las medidas, los ángulos del terreno, retiros, afectaciones y eje vial.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 4,ARQUITECTÓNICOS,PLANTAS,DIMENSIONAMIENTO,"Deberán ser dimensionadas al exterior, haciendo constar las medidas parciales y totales de los locales, espesores de muros, apertura de puertas y ventanas. Se tomará como cota de referencia la del nivel de la acera.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 5,ARQUITECTÓNICOS,PLANTAS,DIMENSIONAMIENTO INTERIOR,"Si existe la imposibilidad de dimensionar las medidas interiores hacia las cotas exteriores del dibujo, se lo hará de acuerdo a las particularidades del proyecto hacia el interior del mismo.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 6,ARQUITECTÓNICOS,PLANTAS,PENDIENTES EN CUBIERTA,En la planta de cubierta inclinada se indicarán las pendientes expresada en porcentaje.,"LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 7,ARQUITECTÓNICOS,PLANTAS,IDENTIFICACIÓN LOCALES,Dentro de cada local se identificará su designación y se colocará cotas de nivel en los sitios que fueran necesarios para la comprensión del proyecto.,"LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 8,ARQUITECTÓNICOS,CORTES,ESCALAS CORTES,"Serán presentados en la misma escala adoptada para las plantas y en número necesario para la claridad del proyecto, mínimo dos: uno en cada sentido y por lo menos uno deberá contemplar el desarrollo de una grada si la hubiera.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 9,ARQUITECTÓNICOS,CORTES,DIMENSIONAMIENTO CORTES,"Deberán estar dimensionados e identificarán los niveles de cada una de las plantas, así como el nivel actual del terreno.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 10,ARQUITECTÓNICOS,FACHADAS,ESCALAS FACHADAS,Deberán representarse todas las fachadas del edificio o edificios en la misma escala adoptada para las plantas y cortes.,"LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 11,ARQUITECTÓNICOS,PLANOS ARQUITECTÓNICOS,CUADRO DE ÁREAS,Cuadro de Áreas por nivel y áreas de edificación,"LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
CPTOM 12,ESTRUCTURALES,PLANOS ESTRUCTURALES,DISEÑO ESTRUCTURAL,"Deberán representar el diseño de la estructural del edificio, el armado de sus elementos, detalles y especificaciones, debidamente acotados. Se acompañará de Estudios de Suelo y Memoria de Cálculo Estructural y observará las disposiciones de las NEC.","LIBRO III  DE LA HABILITACION , EDIFICACION Y CONTROL DEL SUELO Y LA EDIFICACION. Artículo. 150. Componentes del Proyecto Técnico de Obras Mayores.-"
