Codigo;Componente;Tema;Articulo;Texto_Articulo;Activo
ORD-001;Complementación del PUGS;Del Informe Predial de regulación de Uso de Suelo (IPRUS).;Artículo 1;"Adicional a los requisitos contenidos en el Plan de Uso y Gestión de Suelo se deberán adjuntar los
siguientes documentos previo a la obtención del Informe Predial de Regulación de Uso de Suelo:
● Pago de tasa administrativa
● Pago de impuesto predial del año en curso
● En caso de copropiedad la designación de un representante común, mediante autorización
con reconocimiento de firma y rúbrica o poder.
● En el caso que se requiera la modificación permisible de adosamientos y retiros, al amparo
de lo establecido en el Plan de Uso y Gestión de Suelo y en la presente Ordenanza, se anexará
el estudio morfológico conforme el instructivo emitido por la Dirección de Gestión de
Ordenamiento Territorial para tal efecto.
● Factibilidad de servicios básicos (Agua Potable y Luz Eléctrica) emitida por las empresas o
los entes correspondientes.
Para cabeceras urbano parroquiales se deberá presentar: Estudio morfológico de la manzana en que
se determine el tamaño de lotes, porcentaje de consolidación y tipo de implantación a fin de que se
determine el Rango en el que se encuentra el lote, conforme lo determinado en el PUGS.";Sí
ORD-002;Complementación del PUGS;De la certificación de ejes viales.;Artículo 2;"Cuando el administrado requiera la certificación de los ejes viales que consten dentro de la
planificación del GADM Riobamba se deberá adjuntar los siguientes requisitos generales:
● Solicitud en especie valorada dirigida al Director de Gestión de Ordenamiento Territorial;
● Comprobante de pago de tasa administrativa;
● Planimetría georreferenciada del predio en formato UTM WGS84 Zona 17 Latitud Sur,
identificando claramente la superficie, dimensiones de linderos, colindantes y áreas
construidas. Suscrito por el profesional responsable; y el propietario o representante. Con un
respaldo digital en formato .dxf o .shp más las coordenadas geográficas en formato Excel;
● En caso de que se requiera la certificación de ejes viales de una zona o sector, se deberá
indicar el tramo de la vía sobre la que se requiere la certificación adjuntando los puntos
georreferenciados de inicio y fin en formato UTM WGS84 Zona 17 Latitud Sur;
Esta certificación no autoriza ni otorga permiso de construcción y corresponde a un documento
meramente informativo.";Sí
ORD-003;Complementación del PUGS;Aplicación de la Zonificación.;Artículo 3;"Además de las condiciones para aplicación de la normativa especificada en el PUGS, se determina
en los predios rurales que por su magnitud se encuentren en 2 o más zonas de planeamiento se
acogerán a la normativa especificada para la zona de planeamiento en la cual se encuentre la mayor
área del predio. La cual será determinada en el Informe Predial de Regulación de Uso de Suelo.";Sí
ORD-004;Complementación del PUGS;De la definición de rangos de lotes para asignación de la zonificación de edificación y habilitación del suelo urbano parroquial.;Artículo 4;"La Dirección de Gestión de Ordenamiento Territorial o Gestión de Patrimonio Cultural según
corresponda, para la aplicación del cuadro de asignaciones de zonificación para edificación y
habilitación del suelo urbano parroquial constante en el PUGS, definirá en el IPRUS a que rango de
lote corresponde el predio a través de un análisis morfológico de la manzana en que se encuentra
ubicado, análisis que deberá ser presentado por el peticionario.";Sí
ORD-005;Complementación del PUGS;Modificación permisible de adosamientos y retiros en predios situados en las áreas rurales en los cuales por su forma no sea posible cumplir con la normativa de la zona de planeamiento.;Artículo 5;"Además de la modificación permisible de adosamientos y retiros en zonas Urbanas, se permite la
modificación de adosamientos y retiros en suelo Rural, cuando la forma del predio no permita la
implantación de las edificaciones establecidos en el Plan de Uso y Gestión de Suelo.
Se permitirá modificar los retiros establecidos en la zona de planeamiento a través de un análisis
específico del predio en predios rurales siempre que sus ejes viales se encuentren definidos y cuenten
con la certificación emitida por el ente competente.
Se permitirá modificar la forma de implantación de la edificación sin que se incremente el COS PB
Y COS TOTAL asignado por el Plan de Uso y Gestión de Suelo.
Para acceder a la modificación permisible de adosamientos y retiros de la que trata este artículo deberá
presentarse el estudio morfológico del predio conforme el instructivo emitido por la Dirección de
Gestión de Ordenamiento Territorial.";Sí
ORD-006;Complementación del PUGS;Ámbito.;Artículo 6;"Las disposiciones del presente Capítulo rigen para todo predio ubicado en el área urbana del Cantón
Riobamba.";Sí
ORD-007;Complementación del PUGS;Fines.;Artículo 7;"Los fines del presente capítulo son:
1. Mejorar la imagen urbana y ornato de la ciudad;
2. Aportar a la seguridad ciudadana, contribuyendo a la disminución de la delincuencia;
3. Evitar la contaminación ambiental por la presencia de botaderos de basura en los lotes sin
cerramientos y sin mantenimiento;
4. Controlar el establecimiento de focos infecciosos y proliferación de plagas en predios abandonados.";Sí
ORD-008;Complementación del PUGS;Obligatoriedad de construcción y mantenimiento de cerramientos y el cuidado de predios.;Artículo 8;"Toda persona natural o jurídica propietaria de un predio ubicado en el área urbana, está obligada a
construir el cerramiento y mantenerlo en buen estado sin importar que el predio se encuentre edificado
o sin edificar.
De igual manera, es obligación de los propietarios de predios sin edificar que se encuentren dentro
del área urbana, mantener los lotes libres de maleza y escombros.";Sí
ORD-009;Complementación del PUGS;Características de los cerramientos.;Artículo 9;"●
Ningún cerramiento frontal podrá sobresalir de la línea de fábrica.
Todo cerramiento frontal se construirá de conformidad a línea de fábrica.
●
●
Los cerramientos de predios ubicados en áreas urbanas consolidadas serán de carácter
permanente y se realizarán con materiales duraderos, como mallas metálicas ancladas a muros
de soporte, ladrillo o bloque, con una altura mínima de 2,40 metros.
●
Los cerramientos de predios ubicados en áreas urbanas no consolidadas pueden ser de carácter
permanente o provisional, en este último caso se emplearán cercas vivas, alambrado o vallado.";Sí
ORD-010;Complementación del PUGS;De la autorización.;Artículo 10;"Para la construcción de cerramientos de carácter permanentes (mampostería) el propietario del predio
debe obtener la autorización urbanística de edificación de Obras Menores, que se tramitará mediante
procedimiento simplificado establecido en esta Ordenanza.
El cuidado de predios y el mantenimiento de cerramientos no requerirán de autorización municipal.
La construcción de cerramientos en zona rural no requerirá de autorización, salvo que se utilicen
materiales de carácter permanente.";Sí
