ID_Bloque;Orden;Sección;Título;Texto_Base;Tipo_Bloque;Mostrar;Observación_Interna
ENC_001;1;Encabezado;GADMR;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL RIOBAMBA;Fijo;Sí;Título principal
ENC_002;2;Subtítulo;Informe;INFORME TÉCNICO APROBATORIO DE OBRA MAYOR ;Fijo;Sí;Título Secundario
INF_001;3;INFORMACIÓN;INFORMACIÓN GENERAL;"TRÁMITE EGOB NRO.: 
NOMBRE DEL PROPIETARIO:   |  CI/RUC:
PROYECTO DEFINITIVO:
NOMBRE DEL PROYECTO:
USO PRINCIPAL:  |  ALTURA EDIFICACIÓN:
REFERENCIA UBICACIÓN | X:   | Y:
CLAVE CATASTRAL:
BARRIO/SECTOR:  |  CÓDIGO PIT:
DIRECCIÓN:
PROYECTISTA:
REGISTRO SENESCYT: | REGISTRO MUNICIPAL:";Variable;Sí;"Buscar la información registrada al inicio, y donde diga {{Texto Usuario}}, permitir completar los campos faltantes
"
INF_002;4;INFORMACIÓN;DETALLE DEL PROYECTO;Por haber cumplido la revisión técnica mediante el Formato de Revisión, se procede emitir el informe técnico, en función de los documentos anexos: ;Dinámico;Sí;"Generar tabla con los requisitos que ""Cumple"""
BLG_001;5;LEGAL;BASE TÉCNICO - LEGAL;"ORDENANZA 016-2023 de Actualización del Código Urbano, publicado en registro oficial No. 885 Edición
Especial del 23 de Mayo del 2023.
Del Procedimiento Administrativo para el Otorgamiento de la Licencia Urbanística de Edificación de Obras Mayores
SECCIÓN QUINTA Licencia Urbanística de Edificación de Obas Mayores (Artículos 92 - 95)
CAPÍTULO III NORMAS GENERALES DE ARQUITECTURA
SECCIÓN PRIMERA Dimensiones de Locales (Artículos 201-209)
SECCIÓN SEGUNDA Iluminación y Ventilación de Locales (Artículos 210-223)
SECCIÓN TERCERA Circulación en las edificaciones (Artículos 224-231)
SECCIÓN CUARTA Accesos y Salidas (Artículos 232-240)
SECCIÓN QUINTA Ascensores y Elevadores (Artículos 241-256)
CAPITULO IV NORMAS POR TIPO DE EDIFICACIÓN
SECCIÓN PRIMERA Edificios para Habitación (Artículos 274 - 286)
SECCIÓN SEGUNDA Edificios de Comercios y Oficinas (Artículos 287-301)
SECCIÓN DÉCIMA TERCERA Estacionamientos (Artículos 485 - 510)
SECCIÓN VIGÉSIMA SEGUNDA Salientes y voladizos (Artículo 613)";FIJO;SI;Artículos
EST_001;6;REVISIÓN EST;CONSIDERACIONES ESTRUCTURALES;"TABLA
DOCUMENTO: | EGOB:
TÉCNICO REVISOR:
CRITERIO TÉCNICO: {{FAVORABLE/NO FAVORABLE}}
ING. CALCULISTA: 
REGISTRO SENESCYT:";Variable;SI;Llenar manualmente por el usuario
EST_002;7;EP-EMAPAR;ESTUDIOS COMPLEMENTARIOS;"TABLA
ESTUDIO | DOCUMENTO
EP-EMAPAR | Informe de Factibilidad de
Servicios de Agua Potable y Alcantarillado | {{FECHA}}
EP-EMAPAR | NRO DE TRÁMITE: 
EP-EMAPAR | {{EVIDENCIA}}
EERSA | Informe de Factibilidad de servicio
para construcción | {{FECHA}}
EERSA | {{OFICIO}}
EERSA |  {{EVIDENCIA}}
CNT | {{EVIDENCIA}}
BOMBEROS | {{EVIDENCIA}}";Variable;SI;Llenar manualmente por el usuario
CON_001;8;CONCLUSIONES;CONCLUSIÓN TÉCNICA;"En concordancia a lo dispuesto en la Ordenanza No. 016-2023 de Actualización del Código Urbano, Artículo
92 Componentes del Proyecto Técnico de Edificación de Obras Mayores, se concluye emitir el presente
INFORME TÉCNICO FAVORABLE, de conformidad al siguiente detalle:
TABLA
DESCRIPCION | CANTIDAD | UNIDAD
Área del predio (IPRUS) | {{M2}} | |m2
Área útil planta baja | {{M2}} | |m2
Área útil total | {{M2}} | |m2
{{Agregar filas dependiendo de la edificación:
Área bruta planta baja | {NIVELES} | {M2} | m2
Área burta 1era planta alta | {NIVELES} | {M2} | m2
...
Área bruta Planta Terraza| {NIVELES} | {M2} | m2}}
Área Bruta total de construcción {{M2}} | |m2
Número de pisos | {{Nro.}} | U
Unidades Habitacionales  | {{Nro.}} | U
Unidades Comerciales  | {{Nro.}} | U
COS PB  | {{Nro.}} | %
COS Total | {{Nro.}} | %";Variable;SI;Llenar manualmente por el usuario
CON_002;9;CONCLUSIONES;CONCLUSIÓN TÉCNICA;El PROYECTO DEFINITIVO, tiene un área a construir de {{Área Bruta}}, valor a tomar en cuenta para efecto del cálculo para el pago de la tasa administrativa. Nota. - La información y datos que están en el proyecto son de exclusiva responsabilidad del proyectista y propietario, en el caso de existir datos erróneos, ocultos, la aprobación quedará automáticamente insubsistente.;Variable;si;{{Área Bruta}} se toma de la información anterior
ANX_001;10;Carpetas Físicas;ANEXO;{{Texto Usuario}};Variable;si;Generar una fila por cada carpeta, que el usuario pueda añadir
ANX_002;11;Digital;ADJUNTOS;{{Texto Usuario}};Variable;si;Generar una fila por cada documento, que el usuario pueda añadir
ASU_001;12;ASUNTO EGOB;ASUNTO INFORME TÉCNICO APROBATORIO;{{Tipo de Informe}} DE {{Tipo de Proyecto}} NRO. {{Número de Informe}} EGOB NRO. {{Número de Trámite}};Variable;No;Texto para el botón COPIAR ASUNTO. No se imprime ni forma parte del informe.
